[GIN] 2026/06/11 - 02:53:20 | 503 |      11.691µs |     172.23.0.14 | POST     "/store-manager-api/orders"
[GIN] 2026/06/11 - 02:53:20 | 503 |      14.013µs |     172.23.0.14 | POST     "/store-manager-api/orders"
[GIN] 2026/06/11 - 02:53:20 | 503 |      12.113µs |     172.23.0.14 | POST     "/store-manager-api/orders"
[GIN] 2026/06/11 - 02:53:20 | 200 |   44.206944ms |      172.23.0.4 | POST     "/payments-api/payments"
[GIN] 2026/06/11 - 02:53:20 | 503 |      11.301µs |     172.23.0.14 | POST     "/store-manager-api/orders"
[GIN] 2026/06/11 - 02:53:20 | 503 |      12.617µs |     172.23.0.14 | POST     "/store-manager-api/orders"
[GIN] 2026/06/11 - 02:53:20 | 503 |      12.197µs |     172.23.0.14 | POST     "/store-manager-api/orders"
[GIN] 2026/06/11 - 02:53:20 | 200 |   154.81751ms |     172.23.0.14 | POST     "/store-manager-api/orders"
[GIN] 2026/06/11 - 02:53:20 | 503 |      15.494µs |     172.23.0.14 | POST     "/store-manager-api/orders"
[GIN] 2026/06/11 - 02:53:20 | 503 |      20.221µs |     172.23.0.14 | POST     "/store-manager-api/orders"
[GIN] 2026/06/11 - 02:53:20 | 503 |      17.669µs |     172.23.0.14 | POST     "/store-manager-api/orders"
[GIN] 2026/06/11 - 02:53:20 | 503 |      14.513µs |     172.23.0.14 | POST     "/store-manager-api/orders"
[GIN] 2026/06/11 - 02:53:20 | 503 |      14.521µs |     172.23.0.14 | POST     "/store-manager-api/orders"
[GIN] 2026/06/11 - 02:53:20 | 200 |   40.834192ms |      172.23.0.4 | POST     "/payments-api/payments"
[GIN] 2026/06/11 - 02:53:20 | 503 |      15.803µs |     172.23.0.14 | POST     "/store-manager-api/orders"
[GIN] 2026/06/11 - 02:53:20 | 503 |      19.801µs |     172.23.0.14 | POST     "/store-manager-api/orders"
[GIN] 2026/06/11 - 02:53:20 | 503 |      18.559µs |     172.23.0.14 | POST     "/store-manager-api/orders"
[GIN] 2026/06/11 - 02:53:20 | 503 |      13.867µs |     172.23.0.14 | POST     "/store-manager-api/orders"
[GIN] 2026/06/11 - 02:53:20 | 503 |       8.961µs |     172.23.0.14 | POST     "/store-manager-api/orders"
[GIN] 2026/06/11 - 02:53:20 | 503 |      17.238µs |     172.23.0.14 | POST     "/store-manager-api/orders"
[GIN] 2026/06/11 - 02:53:20 | 503 |      14.646µs |     172.23.0.14 | POST     "/store-manager-api/orders"
[GIN] 2026/06/11 - 02:53:20 | 200 |  189.226871ms |     172.23.0.14 | POST     "/store-manager-api/orders"
[GIN] 2026/06/11 - 02:53:20 | 503 |       9.116µs |     172.23.0.14 | POST     "/store-manager-api/orders"
[GIN] 2026/06/11 - 02:53:20 | 503 |      12.114µs |     172.23.0.14 | POST     "/store-manager-api/orders"
[GIN] 2026/06/11 - 02:53:21 | 503 |       28.04µs |     172.23.0.14 | POST     "/store-manager-api/orders"
[GIN] 2026/06/11 - 02:53:21 | 503 |       17.81µs |     172.23.0.14 | POST     "/store-manager-api/orders"
[GIN] 2026/06/11 - 02:53:21 | 503 |      12.483µs |     172.23.0.14 | POST     "/store-manager-api/orders"
[GIN] 2026/06/11 - 02:53:21 | 503 |       9.486µs |     172.23.0.14 | POST     "/store-manager-api/orders"
[GIN] 2026/06/11 - 02:53:21 | 503 |      10.505µs |     172.23.0.14 | POST     "/store-manager-api/orders"
[GIN] 2026/06/11 - 02:53:21 | 503 |       7.684µs |     172.23.0.14 | POST     "/store-manager-api/orders"
[GIN] 2026/06/11 - 02:53:21 | 503 |       7.608µs |     172.23.0.14 | POST     "/store-manager-api/orders"
[GIN] 2026/06/11 - 02:53:21 | 503 |       9.926µs |     172.23.0.14 | POST     "/store-manager-api/orders"
[GIN] 2026/06/11 - 02:53:21 | 200 |   47.644531ms |      172.23.0.4 | POST     "/payments-api/payments"
[GIN] 2026/06/11 - 02:53:21 | 503 |      20.897µs |     172.23.0.14 | POST     "/store-manager-api/orders"
[GIN] 2026/06/11 - 02:53:21 | 503 |      17.254µs |     172.23.0.14 | POST     "/store-manager-api/orders"
[GIN] 2026/06/11 - 02:53:21 | 503 |       9.091µs |     172.23.0.14 | POST     "/store-manager-api/orders"
[GIN] 2026/06/11 - 02:53:21 | 200 |  173.858642ms |     172.23.0.14 | POST     "/store-manager-api/orders"
[GIN] 2026/06/11 - 02:53:21 | 503 |      11.797µs |     172.23.0.14 | POST     "/store-manager-api/orders"
[GIN] 2026/06/11 - 02:53:21 | 503 |      12.293µs |     172.23.0.14 | POST     "/store-manager-api/orders"
[GIN] 2026/06/11 - 02:53:21 | 503 |      13.655µs |     172.23.0.14 | POST     "/store-manager-api/orders"
